feature,score,score_std,input_value,intercept,policy_type,feature_type
Age,-1.041749700062946,0.5585828309471469,78.0,-1.544720774921856,Collision,numeric
Age,-3.8716602809088365,2.0827551370783746,79.0,-1.544720774921856,Collision,numeric
Age,-3.897062051552967,2.083342921659001,80.0,-1.544720774921856,Collision,numeric
Deductible,-0.25162526779185385,0.19377817974372877,300.0,-1.544720774921856,Collision,numeric
Deductible,-0.022434421135274513,0.005540877772203078,400.0,-1.544720774921856,Collision,numeric
Deductible,0.9734180817510065,0.328243477942034,500.0,-1.544720774921856,Collision,numeric
Deductible,0.04908877585187641,0.19240241751310758,700.0,-1.544720774921856,Collision,numeric
DriverRating,0.1424803047091917,0.024785462097947075,1.0,-1.544720774921856,Collision,numeric
DriverRating,0.14044037309274188,0.02045838229730186,2.0,-1.544720774921856,Collision,numeric
DriverRating,0.14533068111371475,0.04424463214619561,3.0,-1.544720774921856,Collision,numeric
DriverRating,-0.527034196994496,0.05613014336828604,4.0,-1.544720774921856,Collision,numeric
Make,0.583260120480941,0.08633151960801086,Accura,-1.544720774921856,Collision,category
Make,-1.3956339862821896,0.7170536008087934,BMW,-1.544720774921856,Collision,category
Make,0.03175903200662048,0.033668891959579623,Chevrolet,-1.544720774921856,Collision,category
Make,-2.1048518706468187,0.2371682170453702,Dodge,-1.544720774921856,Collision,category
Make,-1.4429145335261284,0.7095873906214245,Ferrari,-1.544720774921856,Collision,category
Make,-0.9932835719233862,0.17541498045927323,Ford,-1.544720774921856,Collision,category
Make,0.2964008459996499,0.028431580680307936,Honda,-1.544720774921856,Collision,category
Make,-1.4562880873347666,0.7069892566340759,Jaguar,-1.544720774921856,Collision,category
Make,-0.03834935156108783,0.03344727893366661,Mazda,-1.544720774921856,Collision,category
Make,-1.4813650969001118,0.7089023466287602,Mecedes,-1.544720774921856,Collision,category
Make,-3.5408796320819707,0.9069546115244473,Mercury,-1.544720774921856,Collision,category
Make,-1.4980436180451175,0.7075581368039389,Nisson,-1.544720774921856,Collision,category
Make,-0.015538822239391265,0.028116460520744044,Pontiac,-1.544720774921856,Collision,category
Make,-1.5099371242509678,0.7068150867083004,Porche,-1.544720774921856,Collision,category
Make,-0.5160015186795428,0.14424332801102252,Saab,-1.544720774921856,Collision,category
Make,-1.1364010106026403,0.19687887417098565,Saturn,-1.544720774921856,Collision,category
Make,0.07285839420499617,0.027008847993432034,Toyota,-1.544720774921856,Collision,category
Make,-1.6511502463612882,0.24147258244354927,VW,-1.544720774921856,Collision,category
VehiclePrice_num,0.2670781181433326,0.05182531145163818,30000 to 59000,-1.544720774921856,Collision,category
VehiclePrice_num,-0.0364453478472926,0.016876329858980302,less than 30000,-1.544720774921856,Collision,category
VehiclePrice_num,-0.3862383713905621,0.12927213612392444,more than 60000,-1.544720774921856,Collision,category
VehicleCategory,-0.013247806452546685,0.0028969204743589504,Sedan,-1.544720774921856,Collision,category
VehicleCategory,0.2069407971145051,0.036422307948032105,Sport,-1.544720774921856,Collision,category
VehicleCategory,-0.12158493889851384,0.1470643453511031,Utility,-1.544720774921856,Collision,category
AgeOfVehicle,-1.7460713622223887,0.4560343127679337,2 years,-1.544720774921856,Collision,category
AgeOfVehicle,-0.364480252248424,0.22979180169361865,3 years,-1.544720774921856,Collision,category
AgeOfVehicle,-0.7793150828355218,0.22108562161526918,4 years,-1.544720774921856,Collision,category
AgeOfVehicle,0.35347315625705195,0.09222177307290085,5 years,-1.544720774921856,Collision,category
AgeOfVehicle,0.11049976145657592,0.03700587166675691,6 years,-1.544720774921856,Collision,category
AgeOfVehicle,0.0019274485585290058,0.01696490933061889,7 years,-1.544720774921856,Collision,category
AgeOfVehicle,-0.08861444523737565,0.030307356791266518,more than 7,-1.544720774921856,Collision,category
AgeOfVehicle,-1.5918494742207356,0.6354655268891345,new,-1.544720774921856,Collision,category
Sex,-0.723381473740178,0.05242594725309531,Female,-1.544720774921856,Collision,category
Sex,0.11777021510829955,0.00853521317504884,Male,-1.544720774921856,Collision,category
MaritalStatus,-1.648761380736318,0.7925745013106978,Divorced,-1.544720774921856,Collision,category
MaritalStatus,0.12385564408466333,0.019245314568672227,Married,-1.544720774921856,Collision,category
MaritalStatus,-0.25000989262278045,0.04186621877971965,Single,-1.544720774921856,Collision,category
MaritalStatus,0.20739935101828905,0.4683139683191215,Widow,-1.544720774921856,Collision,category
AgeOfPolicyHolder,0.6593957710948162,0.4518058035689011,16 to 17,-1.544720774921856,Collision,category
AgeOfPolicyHolder,-1.0132633527317376,0.5332725269426659,18 to 20,-1.544720774921856,Collision,category
AgeOfPolicyHolder,0.8274640804281691,0.30978366997616896,21 to 25,-1.544720774921856,Collision,category
AgeOfPolicyHolder,-0.5914144017723845,0.15712017802389439,26 to 30,-1.544720774921856,Collision,category
AgeOfPolicyHolder,-0.144912223972018,0.13226912866027257,31 to 35,-1.544720774921856,Collision,category
AgeOfPolicyHolder,-0.17510353705231707,0.11148191914135092,36 to 40,-1.544720774921856,Collision,category
AgeOfPolicyHolder,0.6620081170231379,0.39916560892071346,41 to 50,-1.544720774921856,Collision,category
AgeOfPolicyHolder,-0.058555824338864415,0.1903867110876778,51 to 65,-1.544720774921856,Collision,category
AgeOfPolicyHolder,0.7922733258566395,0.6856347757006344,over 65,-1.544720774921856,Collision,category
NumberOfCars,0.048552044465450105,0.008120205652018138,1 vehicle,-1.544720774921856,Collision,category
NumberOfCars,-0.741214752774646,0.1657738031924067,2 vehicles,-1.544720774921856,Collision,category
NumberOfCars,-0.6520086338276847,0.10553730708938301,3 to 4,-1.544720774921856,Collision,category
NumberOfCars,-1.3031888573337498,0.18724639231934384,5 to 8,-1.544720774921856,Collision,category
NumberOfCars,-1.5902066812178766,0.25633851385899203,more than 8,-1.544720774921856,Collision,category
PastNumberOfClaims,-0.27487855096626806,0.020924092282702915,1,-1.544720774921856,Collision,category
PastNumberOfClaims,0.11473513172483617,0.024524145436013695,2 to 4,-1.544720774921856,Collision,category
PastNumberOfClaims,-0.20246121190079522,0.05624087121557813,more than 4,-1.544720774921856,Collision,category
PastNumberOfClaims,0.12796854120595727,0.01932982010039945,none,-1.544720774921856,Collision,category
PolicyType,-0.02871203967119074,0.009872015759340068,Sedan - Collision,-1.544720774921856,Collision,category
PolicyType,0.4307492033152371,0.1406473839080721,Sport - Collision,-1.544720774921856,Collision,category
PolicyType,-0.023733760357565893,0.2362277451813276,Utility - Collision,-1.544720774921856,Collision,category
AgentType,0.026847113409150258,0.004159430914663059,External,-1.544720774921856,Collision,category
AgentType,-1.561654196831203,0.2419475287834534,Internal,-1.544720774921856,Collision,category
NumberOfSuppliments,-0.17512172544927535,0.03661930506613085,1 to 2,-1.544720774921856,Collision,category
NumberOfSuppliments,-0.5118005866037463,0.03360323578794028,3 to 5,-1.544720774921856,Collision,category
NumberOfSuppliments,-0.14750549010762024,0.022766329234661167,more than 5,-1.544720774921856,Collision,category
NumberOfSuppliments,0.25538558310039133,0.014225130756573253,none,-1.544720774921856,Collision,category
Days_Policy_Accident,-4.017063046182723,1.2212732086305715,1 to 7,-1.544720774921856,Collision,category
Days_Policy_Accident,-3.6913280625967726,1.2059815885007998,15 to 30,-1.544720774921856,Collision,category
Days_Policy_Accident,-0.6065941192653119,0.20478193998925237,8 to 15,-1.544720774921856,Collision,category
Days_Policy_Accident,0.01724709234340055,0.004999595940978568,more than 30,-1.544720774921856,Collision,category
Days_Policy_Accident,-0.09327570925637715,0.15604882407519433,none,-1.544720774921856,Collision,category
Days_Policy_Claim,-0.43447461431354506,0.30625073416894005,15 to 30,-1.544720774921856,Collision,category
Days_Policy_Claim,0.21025846962823175,0.42238338334141895,8 to 15,-1.544720774921856,Collision,category
Days_Policy_Claim,0.001062810678956674,0.0017168905161051506,more than 30,-1.544720774921856,Collision,category
PoliceReportFiled,0.05385512031818626,0.006771127921156228,No,-1.544720774921856,Collision,category
PoliceReportFiled,-1.656425282554836,0.2082600022755621,Yes,-1.544720774921856,Collision,category
WitnessPresent,0.009074044984865942,0.0013891495729742203,No,-1.544720774921856,Collision,category
WitnessPresent,-1.369445059337606,0.20964895176994716,Yes,-1.544720774921856,Collision,category
AddressChange_Claim_2,0.18192240060876017,0.1432450584663869,change,-1.544720774921856,Collision,category
AddressChange_Claim_2,-0.014050350219496044,0.011063196351466829,no_change,-1.544720774921856,Collision,category
Age,1.1418598900491326,0.5066277805258786,0.0,-1.2119818998742342,All Perils,numeric
Age,1.1299084532304422,0.5061791978874235,16.0,-1.2119818998742342,All Perils,numeric
Age,1.1299084532304422,0.5061791978874235,17.0,-1.2119818998742342,All Perils,numeric
Age,1.1299084532304422,0.5061791978874235,18.0,-1.2119818998742342,All Perils,numeric
Age,1.6238719706282185,1.1115191980819348,19.0,-1.2119818998742342,All Perils,numeric
Age,-1.4093798457001387,1.4898599637951289,20.0,-1.2119818998742342,All Perils,numeric
Age,-1.4195790932698735,1.4895280724148914,21.0,-1.2119818998742342,All Perils,numeric
Age,-0.27718669326323864,0.4391029941346796,22.0,-1.2119818998742342,All Perils,numeric
Age,-0.42109573142025486,0.5578373135113448,23.0,-1.2119818998742342,All Perils,numeric
Age,-0.8190980465666445,0.8589182389093459,24.0,-1.2119818998742342,All Perils,numeric
Age,-0.7803101235268962,0.798205706374261,25.0,-1.2119818998742342,All Perils,numeric
Age,-0.3225452861031906,0.25854060105250826,26.0,-1.2119818998742342,All Perils,numeric
Age,-0.11444907137361396,0.186059441256629,27.0,-1.2119818998742342,All Perils,numeric
Age,0.08450357645844439,0.04881259161328067,28.0,-1.2119818998742342,All Perils,numeric
Age,0.0003909889709408183,0.13502661508091085,29.0,-1.2119818998742342,All Perils,numeric
Age,-0.008580754769149688,0.13946749006083192,30.0,-1.2119818998742342,All Perils,numeric
Age,-0.00686693303804237,0.14210735521075857,31.0,-1.2119818998742342,All Perils,numeric
Age,0.04131705816620193,0.11629092733392594,32.0,-1.2119818998742342,All Perils,numeric
Age,-0.03234888790833163,0.15658235987123884,33.0,-1.2119818998742342,All Perils,numeric
Age,-0.05988749863050412,0.17268075880481543,34.0,-1.2119818998742342,All Perils,numeric
Age,0.01665840579981945,0.1094612345256672,35.0,-1.2119818998742342,All Perils,numeric
Age,0.15016824073513035,0.12015055489414413,36.0,-1.2119818998742342,All Perils,numeric
Age,0.14802500082479256,0.12127931861165689,37.0,-1.2119818998742342,All Perils,numeric
Age,0.18423397073794856,0.12995601772825285,38.0,-1.2119818998742342,All Perils,numeric
Age,0.19874088915405458,0.149887872865971,39.0,-1.2119818998742342,All Perils,numeric
Age,0.43341747513579504,0.32126110668551766,40.0,-1.2119818998742342,All Perils,numeric
Age,0.2808932023430228,0.2566556819403206,41.0,-1.2119818998742342,All Perils,numeric
Age,-0.04635141485074071,0.18065304573405566,42.0,-1.2119818998742342,All Perils,numeric
Age,-0.07186723286105039,0.16422572761291612,43.0,-1.2119818998742342,All Perils,numeric
Age,-0.0487619783952679,0.19937926436139475,44.0,-1.2119818998742342,All Perils,numeric
Age,-0.3305679271876507,0.14171481874007646,45.0,-1.2119818998742342,All Perils,numeric
Age,-0.3370419532207139,0.14457239448015236,46.0,-1.2119818998742342,All Perils,numeric
