feature,score,score_std,input_value,intercept,policy_type,feature_type
Make,-0.045171439831577884,0.03201735591200645,Mazda,-1.5314750349836255,Collision,category
Make,-0.08088643235740635,0.057976203536966316,Mecedes,-1.5314750349836255,Collision,category
Make,-0.10482221934896024,0.05047418053915784,Mercury,-1.5314750349836255,Collision,category
Make,-0.0952980936946457,0.04739107239847289,Nisson,-1.5314750349836255,Collision,category
Make,-0.011301728579601078,0.020619712268210712,Pontiac,-1.5314750349836255,Collision,category
Make,-0.07211456589684945,0.11505611985601552,Porche,-1.5314750349836255,Collision,category
Make,-0.06649182066099593,0.10880972625724077,Saab,-1.5314750349836255,Collision,category
Make,-0.06578550382134474,0.10882293726830718,Saturn,-1.5314750349836255,Collision,category
Make,0.046079958318981214,0.02765849907476605,Toyota,-1.5314750349836255,Collision,category
Make,-1.5067985567806583,0.28108346464060696,VW,-1.5314750349836255,Collision,category
VehiclePrice_num,0.23256407399550075,0.04391495348904378,30000 to 59000,-1.5314750349836255,Collision,category
VehiclePrice_num,-0.03870284764095043,0.012881267026343242,less than 30000,-1.5314750349836255,Collision,category
VehiclePrice_num,-0.30360161837122146,0.06796254613239563,more than 60000,-1.5314750349836255,Collision,category
VehicleCategory,-0.01704870652517433,0.001729761049038437,Sedan,-1.5314750349836255,Collision,category
VehicleCategory,0.27734869133564605,0.017078379105705525,Sport,-1.5314750349836255,Collision,category
VehicleCategory,-0.31739495124526806,0.17396006318850105,Utility,-1.5314750349836255,Collision,category
AgeOfVehicle,-1.8136428315013087,0.4082580882529935,2 years,-1.5314750349836255,Collision,category
AgeOfVehicle,-0.4045710908400429,0.18510908892787883,3 years,-1.5314750349836255,Collision,category
AgeOfVehicle,-0.6162209151362991,0.25316886542057937,4 years,-1.5314750349836255,Collision,category
AgeOfVehicle,0.2705354253455442,0.07542514657871058,5 years,-1.5314750349836255,Collision,category
AgeOfVehicle,0.09838966158460234,0.037780594415300316,6 years,-1.5314750349836255,Collision,category
AgeOfVehicle,0.006400961073620311,0.01695864711682334,7 years,-1.5314750349836255,Collision,category
